Subrepertoire	Sample	TCRa_reads	Observation_type	Shannon_diversity	Coverage
Ctsl-dependent	30903b-045	76250	Rarefaction	1175.55106299043	0.994879914230085
Ctsl-dependent	30903b-045	76529	Rarefaction	1175.67043520105	0.994910249485793
Ctsl-dependent	30903b-045	76808	Rarefaction	1175.78896021718	0.994940291258063
Ctsl-dependent	30903b-045	77088	Rarefaction	1175.90706737904	0.994970149374487
Ctsl-dependent	30903b-045	77367	Rarefaction	1176.02392224255	0.994999614220332
Ctsl-dependent	30903b-045	77646	Rarefaction	1176.13995655096	0.99502879654132
Ctsl-dependent	30903b-045	77926	Rarefaction	1176.25559043001	0.995057802969127
Ctsl-dependent	30903b-045	78205	Rarefaction	1176.37000637344	0.99508642980683
Ctsl-dependent	30903b-045	78484	Rarefaction	1176.4836274467	0.995114784572133
Ctsl-dependent	30903b-045	78763	Rarefaction	1176.59646170349	0.995142870638755
Ctsl-dependent	30903b-045	79043	Rarefaction	1176.7089175199	0.995170790571781
Ctsl-dependent	30903b-045	79322	Rarefaction	1176.82019967395	0.995198348222282
Ctsl-dependent	30903b-045	79601	Rarefaction	1176.93071915088	0.995225647000793
Ctsl-dependent	30903b-045	79881	Rarefaction	1177.04087575336	0.995252786550668
Ctsl-dependent	30903b-045	80160	Rarefaction	1177.14989059375	0.995279576152262
Ctsl-dependent	30903b-045	80439	Rarefaction	1177.25816565976	0.995306116265321
Ctsl-dependent	30903b-045	80719	Rarefaction	1177.36609296974	0.995332503723451
Ctsl-dependent	30903b-045	80998	Rarefaction	1177.47290881809	0.995358553038511
Ctsl-dependent	30903b-045	81277	Rarefaction	1177.57900722617	0.995384361831794
Ctsl-dependent	30903b-045	81556	Rarefaction	1177.68439534369	0.995409933000003
Ctsl-dependent	30903b-045	81836	Rarefaction	1177.78945464114	0.995435359789749
Ctsl-dependent	30903b-045	82115	Rarefaction	1177.89344128946	0.995460463400242
Ctsl-dependent	30903b-045	82394	Rarefaction	1177.99673879066	0.995485337830082
Ctsl-dependent	30903b-045	82674	Rarefaction	1178.09972059799	0.99551007374919
Ctsl-dependent	30903b-045	82953	Rarefaction	1178.2016578951	0.995534497167896
Ctsl-dependent	30903b-045	83232	Rarefaction	1178.30292614169	0.995558699483579
Ctsl-dependent	30903b-045	83512	Rarefaction	1178.40389155757	0.995582768880493
Ctsl-dependent	30903b-045	83791	Rarefaction	1178.50383928956	0.995606536015372
Ctsl-dependent	30903b-045	84070	Rarefaction	1178.60313765032	0.995630089775388
Ctsl-dependent	30903b-045	84349	Rarefaction	1178.70179280525	0.995653432659398
Ctsl-dependent	30903b-045	84629	Rarefaction	1178.80016127927	0.995676649678467
Ctsl-dependent	30903b-045	84908	Rarefaction	1178.8975465225	0.995699577431351
Ctsl-dependent	30903b-045	85187	Rarefaction	1178.99430709788	0.995722301600773
Ctsl-dependent	30903b-045	85467	Rarefaction	1179.09079242169	0.995744904914411
Ctsl-dependent	30903b-045	85746	Rarefaction	1179.18631930857	0.995767228251211
Ctsl-dependent	30903b-045	86025	Rarefaction	1179.28123924829	0.995789354988718
Ctsl-dependent	30903b-045	86305	Rarefaction	1179.37589510733	0.99581136565156
Ctsl-dependent	30903b-045	86584	Rarefaction	1179.4696163758	0.99583310525433
Ctsl-dependent	30903b-045	86863	Rarefaction	1179.56274771773	0.995854654950727
Ctsl-dependent	30903b-045	87142	Rarefaction	1179.65529494661	0.995876016906464
Ctsl-dependent	30903b-045	87422	Rarefaction	1179.74759182769	0.995897268825929
